ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime,PartialURL
75,The Crying Dead,NR,10/30/2011 0:00,"Scott Michael Campbell, Hunter G. Williams",Hunter G. Williams,"Action & Adventure, Horror",0,81 minutes,the_crying_dead_2013
76,Dragon Nest: Warriors' Dawn,PG,"Dec 31,9999","Bill Borden, Ran Zhuo","Song Yuefeng, Yuefeng Song","Action & Adventure, Kids & Family, Science Fiction & Fantasy",0,88 minutes,dragon_nest_warriors_dawn
77,Run,NR,"Dec 31,9999","Simone Bartesaghi, Joseph Michael Lagana",Simone Bartesaghi,"Action & Adventure, Mystery & Suspense, Romance",0,90 minutes,run_2013
78,The Naked Face,R,"Dec 31,9999",Bryan Forbes,Bryan Forbes,"Action & Adventure, Drama, Mystery & Suspense",0,105 minutes,the_naked_face_1984
79,Light in the Piazza,NR,2/6/1962 0:00,Julius J. Epstein,Guy Green,"Drama, Romance",0,101 minutes,light_in_the_piazza
80,Lionhead,NR,"Dec 31,9999",Chris Rennier,Thomas Rennier,Comedy,0,96 minutes,lionhead
81,Barbie and The Secret Door,NR,"Dec 31,9999","Brian Hohlfeld, Brian Hohlfield",Karen J Lloyd,"Animation, Kids & Family, Musical & Performing Arts",0,81 minutes,barbie_and_the_secret_door
82,Lean Like a Cholo (Perfect Sunday) (American Lowrider),R,"Dec 31,9999",NOT_AVAILABLE,"Demetrius Navarro, Rick Najera",Drama,0,90 minutes,lean_like_a_cholo
83,Kite,R,10/9/2014 0:00,Brian Cox,Ralph Ziman,Action & Adventure,0,100 minutes,kite_2014
84,Angel Of The Skies,NR,"Dec 31,9999",NOT_AVAILABLE,Christopher-Lee Dos Santos,"Art House & International, Drama",0,103 minutes,angel_of_the_skies_2013
85,Happy People: A Year in the Taiga,NR,1/24/2013 0:00,"Werner Herzog, Rudolph Herzog","Werner Herzog, Dmitry Vasyukov","Art House & International, Documentary, Special Interest",0,94 minutes,happy_people_a_year_in_the_taiga
86,Songs From The North,NR,9/17/2015 0:00,Yoo Soon-Mi,Yoo Soon-Mi,"Documentary, Special Interest",0,71 minutes,songs_from_the_north
87,Barney: I Love My Friends,G,"Dec 31,9999",NOT_AVAILABLE,"Fred Holmes, Jim Rowley",Kids & Family,0,57 minutes,barney_i_love_my_friends_2011
88,Breath Of The Gods,NR,"Dec 31,9999",NOT_AVAILABLE,Jan Schmidt-Garre,"Documentary, Special Interest",0,100 minutes,breath_of_the_gods_2014
89,Cut Bank,R,4/2/2015 0:00,Roberto Patiño,Matt Shakman,Mystery & Suspense,0,93 minutes,cut_bank
90,Marvin Hamlisch: What He Did For Love,PG,10/28/2013 0:00,Dori Berinstein,"Dori Berinstein, Dori Bernstein","Documentary, Musical & Performing Arts, Special Interest",0,85 minutes,marvin_hamlisch_what_he_did_for_love
91,The Island,R,6/12/1980 0:00,Peter Benchley,Michael Ritchie,"Drama, Horror, Mystery & Suspense",0,111 minutes,1010745-island
92,Das Haus Der Krokodile,PG,"Dec 31,9999","Cyrill Boss, Philipp Stennert, Eckhard Vollmar","Cyrill Boss, Philipp Stennert","Action & Adventure, Kids & Family",0,90 minutes,das_haus_der_krokodile
93,The Dead,R,10/6/2011 0:00,"Jonathan Ford, Howard J. Ford, Jonathan Ford","Jonathan Ford, Howard J. Ford, Jonathan Ford","Cult Movies, Horror",0,104 minutes,the_dead_2009
94,Dr. Cabbie,NR,9/18/2014 0:00,"Ron Kennell, Vinay Virmani, Manu Chopra",Jean-François Pouliot,Comedy,0,101 minutes,dr_cabbie
95,Highland Park,NR,"Dec 31,9999","Christopher Keyser, Andrew Meieran",Andrew Meieran,Comedy,0,83 minutes,highland_park
96,Under the Mistletoe,PG,12/3/2006 0:00,"Lindsay MacAdam, Jason Riley",George Mendeluk,"Drama, Television",0,90 minutes,under-the-mistletoe
97,Batman: Assault on Arkham,PG-13,"Dec 31,9999",Heath Corson,"Jay Oliva, Ethan Spaulding","Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Special Interest",0,72 minutes,batman_assault_on_arkham
98,Race For Glory,R,5/31/1989 0:00,"Kevin Rodney Sullivan, Jeffrey Smith, Scott Swanton",Rocky Lang,"Documentary, Drama, Special Interest, Sports & Fitness",0,60 minutes,race_for_glory
99,When the Garden was Eden,NR,4/16/2014 0:00,NOT_AVAILABLE,Michael Rapaport,"Documentary, Drama, Special Interest",0,75 minutes,when_the_garden_was_eden
100,Batkid Begins,PG,6/25/2015 0:00,"Kurt Kuenne, Dana Nachman",Dana Nachman,Documentary,"$73,002.00 ",87 minutes,batkid_begins
101,Raven's Cravings: A Bmore Love Thing,NR,4/30/2013 0:00,Angel Williams,"Angel Williams, Alvin Gray",Drama,0,0,ravens_cravings_a_bmore_love_thing
102,In Harm's Way,NR,"Dec 31,9999","John Karsko, Dina Almeida",John Karsko,"Action & Adventure, Drama",0,112 minutes,in_harms_way_2012
103,The Carpenter's Miracle,NR,"Dec 31,9999",Judd Parkin,Kristoffer Tabori,"Comedy, Drama, Television, Faith & Spirituality",0,90 minutes,the_carpenters_miracle
104,Cold Comes The Night,R,1/9/2014 0:00,"Oz Perkins, Tze Chun, Nick Simon (II)",Tze Chun,"Drama, Mystery & Suspense",0,91 minutes,cold_comes_the_night_2013
105,The Brainwashing of My Dad,NR,3/17/2016 0:00,"Fiore Derosa, Jen Senko, Melodie Bryant, Kala Mandrake",Jen Senko,Documentary,0,95 minutes,
106,Stalked at 17,NR,"Dec 31,9999",Christine Conradt,Doug Campbell,"Drama, Mystery & Suspense",0,90 minutes,stalked_at_17
107,American Bad Boy,R,"Dec 31,9999",Paul Goldsby,Obba Babatundé,Drama,0,90 minutes,american_bad_boy
108,Serena,R,3/26/2015 0:00,Christopher Kyle,Susanne Bier,Drama,0,109 minutes,serena_2015
109,Preservation,NR,1/8/2015 0:00,Christopher Denham,Christopher Denham,"Horror, Mystery & Suspense",0,90 minutes,preservation_2014
110,Get Hard,R,3/26/2015 0:00,"Ian Roberts, Jay Martel",Etan Cohen,Comedy,0,100 minutes,get_hard
111,I Didn't Come Here To Die,NR,"Dec 31,9999",Bradley Scott Sullivan,Bradley Scott Sullivan,"Horror, Mystery & Suspense",0,90 minutes,i_didnt_come_here_to_die
112,The Bride Walks Out,NR,7/9/1936 0:00,"P.J. Wolfson, Philip G. Epstein",Leigh Jason,"Classics, Comedy",0,81 minutes,the-bride-walks-out
113,Alien Rising (Gemini Rising),NR,1/25/2015 0:00,"Kenny Yakkel, Michael Todd (II)",Dana Schroeder,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",0,93 minutes,alien_rising_2015
114,Stuck in Love,R,7/4/2013 0:00,Josh Boone,Josh Boone,"Comedy, Drama","$100,000.00 ",96 minutes,stuck_in_love
115,The Yankles,PG-13,"Dec 31,9999",NOT_AVAILABLE,David R. Brooks,"Comedy, Drama, Sports & Fitness",0,115 minutes,the_yankles_2011
116,Tiger Orange,NR,"Dec 31,9999","Mark Strano, Wade Gasque",Wade Gasque,Drama,0,75 minutes,tiger_orange
117,Puss in Boots: A Furry Tail,NR,"Dec 31,9999",NOT_AVAILABLE,Darrell Van Citters,"Animation, Kids & Family",0,41 minutes,puss_in_boots_a_furry_tail_2011
118,Hellacious Acres: The Case Of John Glass,NR,"Dec 31,9999",Pat Tremblay,Pat Tremblay,"Comedy, Science Fiction & Fantasy",0,108 minutes,hellacious_acres_the_case_of_john_glass
119,Lucky Christmas,NR,12/1/2011 0:00,Sheri Davenport,Gary Yates,"Comedy, Drama, Kids & Family, Television, Romance",0,87 minutes,lucky_christmas
120,Mozart's Sister,NR,8/18/2011 0:00,Rene Feret,Rene Feret,"Art House & International, Drama","$705,264.00 ",120 minutes,mozarts_sister
121,En el ombligo del cielo,NR,"Dec 31,9999",Carlos Gómez Oliver,Carlos Gómez Oliver,Comedy,0,90 minutes,en_el_ombligo_del_cielo
122,The Vessel,NR,"Dec 31,9999","Stu Brumbaugh, Joel Corda",Terry Tychon,"Drama, Mystery & Suspense",0,92 minutes,the_vessel_2012
123,"Gangsters, Guns & Zombies",NR,"Dec 31,9999","Matt Mitchell, Taliesyn Mitchell, Matthew Mitchell","Matt Mitchell, Matthew Mitchell","Comedy, Horror, Mystery & Suspense",0,88 minutes,gangsters_guns_and_zombies
124,A Mile in His Shoes,PG,9/4/2011 0:00,Jason Koornick,William Dear,"Drama, Kids & Family, Television",0,91 minutes,a_mile_in_his_shoes
125,Home Sweet Home,NR,"Dec 31,9999",NOT_AVAILABLE,David Morlet,"Horror, Mystery & Suspense",0,82 minutes,
126,Jesus People,NR,4/10/2014 0:00,"Dan Ewald, Rajeev Sigamoney, Dan Steadman",Jason Naumann,Comedy,0,88 minutes,jesus-people
127,Fight The Fight (Cai Li Fo),PG-13,"Dec 31,9999",NOT_AVAILABLE,Ming-Sing Wong,Action & Adventure,0,0,fight_the_fight_2011
128,Ring the Bell,PG,"Dec 31,9999","Mark Miller, Thomas Weber","Thomas Weber, Tom Weber",Drama,0,97 minutes,ring_the_bell
129,Brawl,R,"Dec 31,9999",NOT_AVAILABLE,Julaluck Ismalone,"Action & Adventure, Drama",0,92 minutes,brawl_2012
130,The Kidnapping of Michel Houellebecq,NR,3/24/2015 0:00,Guillaume Nicloux,Guillaume Nicloux,"Comedy, Drama",0,93 minutes,the_kidnapping_of_michel_houellebecq_2015
131,Mary Marie,NR,"Dec 31,9999","Alexandra Roxo, Alana Kearns-Green",Alexandra Roxo,Drama,0,80 minutes,mary_marie_2012
132,ThanksKilling,R,12/31/2008 0:00,"Jordan Downey, Kevin Stewart",Jordan Downey,"Comedy, Horror, Mystery & Suspense",0,70 minutes,thankskilling
133,Mercury Plains,R,"Dec 31,9999",Charles Burmeister,Charles Burmeister,Mystery & Suspense,0,100 minutes,mercury_plains
134,Radio America,NR,10/22/2015 0:00,Christopher Showerman,Christopher Showerman,"Drama, Musical & Performing Arts",0,101 minutes,radio_america
135,Mama,PG-13,1/17/2013 0:00,"Neil Cross, Andy Muschietti, Barbara Muschietti",Andy Muschietti,"Art House & International, Horror","$71,588,220.00 ",100 minutes,mama_2013
136,American Drug War 2: Cannabis Destiny,NR,"Dec 31,9999",Kevin Booth,Kevin Booth,"Documentary, Special Interest",0,90 minutes,american_drug_war_2_cannabis_destiny_2013
137,Momo: The Sam Giancana Story,NR,11/18/2013 0:00,"Dimitri Logothetis, Nicholas Celozzi, Jim McGrath",Dimitri Logothetis,Documentary,0,109 minutes,momo_the_sam_giancana_story
138,The Cobbler,PG-13,3/12/2015 0:00,"Tom McCarthy, Paul Sado",Tom McCarthy,Comedy,0,98 minutes,the_cobbler_2015
139,Neurons To Nirvana:Understanding Psychedelic Medicines,NR,"Dec 31,9999",NOT_AVAILABLE,"Mikki Willis, Oliver Hockenhull","Documentary, Special Interest",0,69 minutes,neurons_to_nirvanaunderstanding_psychedelic_medicines
140,Oldboy,R,11/26/2013 0:00,Mark Protosevich,Spike Lee,"Action & Adventure, Drama, Mystery & Suspense",0,104 minutes,oldboy_2013
141,Marvel's The Avengers,PG-13,5/3/2012 0:00,Zak Penn,NOT_AVAILABLE,"Action & Adventure, Science Fiction & Fantasy","$623,279,547.00 ",142 minutes,marvels_the_avengers
142,The ABCs of Death,R,3/7/2013 0:00,NOT_AVAILABLE,"Angela Bettis, Jake West, Tak Sakaguchi, Yudai Yamaguchi, Christopher Smith, Anders Morgenthaler, Simon Rumley, Banjong Pisanthanakun, Adrian García Bogliano, Ti West, Xavier Gens, Andrew Traucki, Adam Wingard, Ernesto Díaz Espinoza, Nacho Vigalondo, Noboru Iguchi, Jon Schnepp, Bruno Forzani, Hélène Cattet, Yoshihiro Nishimura, Marcel Sarmiento, Jorge Michel Grau, Ben Wheatley, Srdjan Spasojevic, Thomas Malling Cappelen, Jason Eisener, Kaare Andrews, Simon Barrett, Timo Tjahjanto, Lee Hardcastle, Simon Barrette","Horror, Mystery & Suspense",0,129 minutes,the_abcs_of_death
143,Battledogs,NR,4/5/2013 0:00,Shane Van Dyke,"Alexander Yellen, Alex Yellen","Drama, Horror, Science Fiction & Fantasy, Special Interest",0,90 minutes,battledogs
144,Wild Tales,R,2/19/2015 0:00,Damián Szifron,Damián Szifron,"Comedy, Drama, Mystery & Suspense",0,122 minutes,wild_tales
145,Grandma,R,8/20/2015 0:00,Paul Weitz,Paul Weitz,Comedy,0,82 minutes,grandma_2015
146,Vampira And Me,NR,10/7/2013 0:00,NOT_AVAILABLE,R.H. Greene,"Documentary, Special Interest, Television",0,106 minutes,vampira_and_me
147,The First Grader,PG-13,5/12/2011 0:00,Ann Peacock,Justin Chadwick,"Art House & International, Drama","$332,306.00 ",103 minutes,the_first_grader
148,The Fitzgerald Family Christmas,PG-13,12/6/2012 0:00,Edward Burns,Edward Burns,Drama,0,99 minutes,the_fitzgerald_family_christmas
149,Commitment,NR,12/5/2013 0:00,KIM Soo-young,Hong-soo Park,"Action & Adventure, Drama, Mystery & Suspense",0,108 minutes,commitment_2013
150,The Contractor,PG-13,"Dec 31,9999","Peter Sullivan, Sean Robert Olson, Bradford Holt",Sean Robert Olson,Mystery & Suspense,0,90 minutes,the_contractor_2013
151,Bernardo Bertolucci: A cosa serve il cinema? (Bernardo Bertolucci: What Is the Purpose of Cinema?),NR,9/5/2013 0:00,Chuck Workman,Chuck Workman,"Documentary, Special Interest",0,83 minutes,bernardo_bertolucci_a_cosa_serve_il_cinema
152,Snow on tha Bluff,R,4/19/2012 0:00,"Curtis Snow, Damon Russell",Damon Russell,"Action & Adventure, Documentary, Drama, Sports & Fitness",0,79 minutes,snow_on_tha_bluff
153,Hoser (The Dick Knost Show),NR,"Dec 31,9999",Bruce Sweeney,Bruce Sweeney,Comedy,0,90 minutes,hoser
154,The Motivation,NR,6/12/2013 0:00,NOT_AVAILABLE,Adam Bhala Lough,"Documentary, Special Interest, Sports & Fitness",0,88 minutes,the_motivation_2013
155,In the Name of My Daughter,R,5/14/2015 0:00,"André Téchiné, Cédric Anger, Jean-Charles Le Roux",André Téchiné,"Art House & International, Drama","$266,120.00 ",116 minutes,in_the_name_of_my_daughter
156,I Used To Be Darker,NR,9/26/2013 0:00,"Matthew Porterfield, Amy Belk",Matthew Porterfield,Drama,"$21,964.00 ",90 minutes,i_used_to_be_darker_2013
157,The Day,R,8/28/2012 0:00,Luke Passmore,Douglas Aarniokoski,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy","$20,502.00 ",84 minutes,
158,Playing for Keeps,PG-13,12/6/2012 0:00,Robbie Fox,Gabriele Muccino,"Comedy, Drama, Sports & Fitness","$13,099,786.00 ",106 minutes,playing_for_keeps_2012
159,Earthbound,PG-13,5/3/2012 0:00,Gren Wells,Nicole Kassell,"Comedy, Drama, Science Fiction & Fantasy, Romance",0,106 minutes,earthbound_2011
160,The Last Witch Hunter,PG-13,10/22/2015 0:00,"Cory Goodman, Matt Sazama, Burk Sharpless",Breck Eisner,"Action & Adventure, Science Fiction & Fantasy",0,105 minutes,the_last_witch_hunter
161,House at the End of the Street,PG-13,9/20/2012 0:00,"Jonathan Mostow, David Loucka",Mark Tonderai,"Horror, Mystery & Suspense","$31,600,000.00 ",101 minutes,house_at_the_end_of_the_street
162,Dark Around the Stars,R,"Dec 31,9999",Jim Janosky,Derrick Borte,Drama,0,100 minutes,dark_around_the_stars
163,Dementia,NR,12/3/2015 0:00,Meredith Berg,Mike Testin,Horror,0,90 minutes,
164,Contraband,NR,11/28/1940 0:00,"Michael Powell, Emeric Pressburger, Brock Williams",Michael Powell,"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",0,92 minutes,1064013-contraband
165,30 Beats,R,7/19/2012 0:00,Alexis Lloyd,Alexis Lloyd,"Comedy, Romance","$14,686.00 ",88 minutes,30_beats
